"","state_fips","in_out","state_population","isochrone","STUSAB","STATE_NAME"
"1","01","inside",3819466.63488938,"120","AL","Alabama"
"2","01","outside",1364357.00781956,"120","AL","Alabama"
"3","02","outside",2358930,"120","AK","Alaska"
"4","04","inside",6437716.15877578,"120","AZ","Arizona"
"5","04","outside",1194363.09767246,"120","AZ","Arizona"
"6","05","inside",2970287.33946851,"120","AR","Arkansas"
"7","05","outside",725473.609999237,"120","AR","Arkansas"
"8","06","inside",38800730.7000203,"120","CA","California"
"9","06","outside",1553388.33437534,"120","CA","California"
"10","08","inside",5063726.30236812,"120","CO","Colorado"
"11","08","outside",915310.923599461,"120","CO","Colorado"
"12","09","inside",3582522.27637652,"120","CT","Connecticut"
"13","09","outside",6536.93184314278,"120","CT","Connecticut"
"14","10","inside",995125.386508098,"120","DE","Delaware"
"15","10","outside",19179.8016176349,"120","DE","Delaware"
"16","11","inside",701973.999999982,"120","DC","District of Columbia"
"17","12","inside",20140738.486089,"120","FL","Florida"
"18","12","outside",1409931.54572712,"120","FL","Florida"
"19","13","inside",10648173.728424,"120","GA","Georgia"
"20","13","outside",330491.761201068,"120","GA","Georgia"
"21","15","inside",983257.264379848,"120","HI","Hawaii"
"22","15","outside",444371.729739315,"120","HI","Hawaii"
"23","16","inside",1004892.53025681,"120","ID","Idaho"
"24","16","outside",994709.005954629,"120","ID","Idaho"
"25","17","inside",12500722.761593,"120","IL","Illinois"
"26","17","outside",385445.907718505,"120","IL","Illinois"
"27","18","inside",6697351.98245054,"120","IN","Indiana"
"28","18","outside",73556.3573939331,"120","IN","Indiana"
"29","19","inside",2791020.04882143,"120","IA","Iowa"
"30","19","outside",554297.961082569,"120","IA","Iowa"
"31","20","inside",166117.935867535,"120","KS","Kansas"
"32","20","outside",2842021.33933334,"120","KS","Kansas"
"33","21","inside",4239644.69307987,"120","KY","Kentucky"
"34","21","outside",548892.310331154,"120","KY","Kentucky"
"35","22","inside",4374506.59670503,"120","LA","Louisiana"
"36","22","outside",906289.8590936,"120","LA","Louisiana"
"37","23","inside",1508442.61693935,"120","ME","Maine"
"38","23","outside",331861.296462991,"120","ME","Maine"
"39","24","inside",6131765.99897255,"120","MD","Maryland"
"40","24","outside",51858.986810013,"120","MD","Maryland"
"41","25","inside",6896892.27482247,"120","MA","Massachusetts"
"42","25","outside",80033.7584650014,"120","MA","Massachusetts"
"43","26","inside",9365338.18594752,"120","MI","Michigan"
"44","26","outside",906960.073266417,"120","MI","Michigan"
"45","27","inside",5141540.84268617,"120","MN","Minnesota"
"46","27","outside",675179.991841449,"120","MN","Minnesota"
"47","28","inside",3008901.30405452,"120","MS","Mississippi"
"48","28","outside",537641.623979581,"120","MS","Mississippi"
"49","29","inside",4393121.52302635,"120","MO","Missouri"
"50","29","outside",2285928.50833146,"120","MO","Missouri"
"51","30","outside",1061705,"120","MT","Montana"
"52","31","inside",1513357.03272773,"120","NE","Nebraska"
"53","31","outside",452192.557152347,"120","NE","Nebraska"
"54","32","inside",2046095.43707783,"120","NV","Nevada"
"55","32","outside",1058930.62162058,"120","NV","Nevada"
"56","33","inside",1353928.30646367,"120","NH","New Hampshire"
"57","33","outside",3025.37842237294,"120","NH","New Hampshire"
"58","34","inside",8925804.86222441,"120","NJ","New Jersey"
"59","34","outside",34224.0024625027,"120","NJ","New Jersey"
"60","35","inside",1572653.94696799,"120","NM","New Mexico"
"61","35","outside",952288.612392136,"120","NM","New Mexico"
"62","36","inside",19381295.5776669,"120","NY","New York"
"63","36","outside",361616.019012171,"120","NY","New York"
"64","37","inside",10462120.7478812,"120","NC","North Carolina"
"65","37","outside",152444.66851266,"120","NC","North Carolina"
"66","38","inside",346395.775656603,"120","ND","North Dakota"
"67","38","outside",473592.705226111,"120","ND","North Dakota"
"68","39","inside",11709386.1504467,"120","OH","Ohio"
"69","39","outside",11136.9289276828,"120","OH","Ohio"
"70","40","inside",3885464.09470037,"120","OK","Oklahoma"
"71","40","outside",376433.829865746,"120","OK","Oklahoma"
"72","41","inside",3355897.21614101,"120","OR","Oregon"
"73","41","outside",1223614.43549898,"120","OR","Oregon"
"74","42","inside",12814642.6196879,"120","PA","Pennsylvania"
"75","42","outside",309819.609874462,"120","PA","Pennsylvania"
"76","44","inside",1082929.59336387,"120","RI","Rhode Island"
"77","44","outside",1065.63553119307,"120","RI","Rhode Island"
"78","45","inside",5390659.08084889,"120","SC","South Carolina"
"79","45","outside",207746.231944127,"120","SC","South Carolina"
"80","46","inside",507864.832416098,"120","SD","South Dakota"
"81","46","outside",452386.910486427,"120","SD","South Dakota"
"82","47","inside",6824132.01992141,"120","TN","Tennessee"
"83","47","outside",230396.522510235,"120","TN","Tennessee"
"84","48","inside",26238457.0731524,"120","TX","Texas"
"85","48","outside",3469292.84423912,"120","TX","Texas"
"86","49","inside",2958075.86861965,"120","UT","Utah"
"87","49","outside",437115.41835222,"120","UT","Utah"
"88","50","inside",562620.518753233,"120","VT","Vermont"
"89","50","outside",201966.017246235,"120","VT","Vermont"
"90","51","inside",8492870.8241223,"120","VA","Virginia"
"91","51","outside",232805.996940443,"120","VA","Virginia"
"92","53","inside",6015955.05595797,"120","WA","Washington"
"93","53","outside",2089947.92023808,"120","WA","Washington"
"94","54","inside",1821322.49087863,"120","WV","West Virginia"
"95","54","outside",92831.8263674886,"120","WV","West Virginia"
"96","55","inside",5622023.25799821,"120","WI","Wisconsin"
"97","55","outside",536558.506464919,"120","WI","Wisconsin"
"98","56","inside",113807.386967424,"120","WY","Wyoming"
"99","56","outside",581233.149528571,"120","WY","Wyoming"
"100","72","inside",3254974.65261106,"120","PR","Puerto Rico"
"101","72","outside",74072.922960496,"120","PR","Puerto Rico"
"102","01","inside",1688207.35450356,"60","AL","Alabama"
"103","01","outside",3621341.56294538,"60","AL","Alabama"
"104","02","outside",2358930,"60","AK","Alaska"
"105","04","inside",5843522.46158194,"60","AZ","Arizona"
"106","04","outside",1661283.72474863,"60","AZ","Arizona"
"107","05","inside",1208563.23009192,"60","AR","Arkansas"
"108","05","outside",2170623.08312289,"60","AR","Arkansas"
"109","06","inside",36056505.4453057,"60","CA","California"
"110","06","outside",4622624.38237265,"60","CA","California"
"111","08","inside",4387521.07519355,"60","CO","Colorado"
"112","08","outside",1534237.26037911,"60","CO","Colorado"
"113","09","inside",3601652.62179879,"60","CT","Connecticut"
