"","iso_rural_class","population","isochrone"
"1","inside_nonrural",256466217.025893,"120"
"2","inside_rural",45928405.2365944,"120"
"3","outside_nonrural",12315944.2930996,"120"
"4","outside_rural",15402548.6757433,"120"
"5","inside_nonrural",231758228.311361,"60"
"6","inside_rural",19883844.4265207,"60"
"7","outside_nonrural",37023933.0076316,"60"
"8","outside_rural",41443216.4858173,"60"
"9","inside_nonrural",246513677.104833,"90"
"10","inside_rural",36129129.8079153,"90"
"11","outside_nonrural",22268484.2141588,"90"
"12","outside_rural",25201824.1044224,"90"
